iter	RMSE
0	0.1861346717
1	0.1773627984
2	0.1690303802
3	0.1609294199
4	0.1533006676
5	0.146100207
6	0.1390840741
7	0.1325489437
8	0.1262965722
9	0.120639899
10	0.1150574137
11	0.1096631106
12	0.1045990317
13	0.09977552915
14	0.09519039597
15	0.09069583157
16	0.08661737447
17	0.08262569091
18	0.07882172446
19	0.07528940564
20	0.0717897147
21	0.06839825979
22	0.06521684549
23	0.06235309728
24	0.05952841726
25	0.05691845344
26	0.05433721018
27	0.05198700078
28	0.04967636532
29	0.04741931126
30	0.04530624624
31	0.04322428088
32	0.0413476303
33	0.0395236768
34	0.03777438669
35	0.03604851815
36	0.03444595512
37	0.0329572624
38	0.03151344762
39	0.0301374169
40	0.02882924517
41	0.02761108108
42	0.02643444974
43	0.02533107549
44	0.02433774089
45	0.02331984777
46	0.02229831622
47	0.02135668408
48	0.02047438681
49	0.01961310069
50	0.01878066496
51	0.01803400155
52	0.01727758878
53	0.01658114837
54	0.0159118973
55	0.01526966515
56	0.01468088352
57	0.01412563078
58	0.01357806096
59	0.013056701
60	0.01258766492
61	0.01212323744
62	0.01167899161
63	0.01123579594
64	0.01083495558
65	0.0104612361
66	0.01011516665
67	0.009777647162
68	0.009493682631
69	0.009191484493
70	0.00889047002
71	0.008608981854
72	0.008348037962
73	0.00810119923
74	0.007883774924
75	0.00766438102
76	0.007451404672
77	0.007248251107
78	0.007051536754
79	0.006881453411
80	0.006704042803
81	0.006543536466
82	0.006382044011
83	0.006228440505
84	0.006084459008
85	0.00594680544
86	0.005815954917
87	0.005712071099
88	0.005608463196
89	0.005494300479
90	0.005391985089
91	0.005289220657
92	0.005191060206
93	0.005098746993
94	0.005019257642
95	0.004940789474
96	0.004869354532
97	0.004794596142
98	0.004717871023
99	0.004645104485
100	0.004586285406
101	0.00452447304
102	0.004464343369
103	0.004399783791
104	0.004346756466
105	0.00428788732
106	0.004243094255
107	0.004202173109
108	0.004162677989
109	0.004123438945
110	0.004088555947
111	0.004053361855
112	0.0040076651
113	0.003968525175
114	0.003940410366
115	0.003909792925
116	0.003881828234
117	0.003848740633
118	0.003820622802
119	0.003795426796
120	0.003771907149
121	0.003744162234
122	0.003716673038
123	0.003693630856
124	0.003660193537
125	0.003643713884
126	0.003623873431
127	0.003598188786
128	0.003570947855
129	0.003551756303
130	0.003537336258
131	0.003516646273
132	0.003491929199
133	0.003474085976
134	0.003460861096
135	0.00343871238
136	0.003421684739
137	0.003409396381
138	0.003384895952
139	0.003359996314
140	0.003348576143
141	0.003329251448
142	0.003312020359
143	0.003296769762
144	0.003278250551
145	0.003262712027
146	0.003244307763
147	0.003231864646
148	0.003216855072
149	0.003200819677
150	0.003190992978
151	0.003170754833
152	0.003153705187
153	0.003139384847
154	0.003128452105
155	0.003112923149
156	0.003100823736
157	0.003088990002
158	0.003077491298
159	0.003065403205
160	0.003045108975
161	0.003036201583
162	0.003028382641
163	0.003013153708
164	0.00299700025
165	0.002978284124
166	0.002969185698
167	0.002959614442
168	0.002946113391
169	0.002932964717
170	0.002918977175
171	0.002905949822
172	0.002891426444
173	0.00287662161
174	0.002865507789
175	0.002852458695
176	0.002836865058
177	0.002829098197
178	0.002816858946
179	0.002802328157
180	0.002792449136
181	0.002784755376
182	0.002773378962
183	0.002764545014
184	0.002751127194
185	0.002739398179
186	0.002730901204
187	0.00272082031
188	0.002713053915
189	0.002707575016
190	0.002691561524
191	0.002679031262
192	0.002670948298
193	0.002657527213
194	0.002649199608
195	0.002635138552
196	0.002629953558
197	0.00262246505
198	0.002616985664
199	0.002611149606
200	0.00259917263
201	0.0025927283
202	0.002579676134
203	0.002574515948
204	0.002567175218
205	0.002554775477
206	0.002544958327
207	0.002534998253
208	0.002522677569
209	0.002512798765
210	0.002501959117
211	0.002494422716
212	0.002488317702
213	0.002482191828
214	0.002471771514
215	0.002460759711
216	0.002449743576
217	0.002443982198
218	0.002432095217
219	0.002426882545
220	0.002421895924
221	0.002414528324
222	0.002409380285
223	0.002403182366
224	0.002395657281
225	0.002387598832
226	0.002378147872
227	0.002373358404
228	0.002363702941
229	0.002358010101
230	0.002351253449
231	0.002345980059
232	0.00233670176
233	0.002328834516
234	0.002319169723
235	0.002311220242
236	0.00230361448
237	0.002290350033
238	0.002282300994
239	0.002278346454
240	0.002274575963
241	0.00226845103
242	0.002256698294
243	0.002248280644
244	0.002241150727
245	0.002230718172
246	0.002224376963
247	0.002219469547
248	0.002215060038
249	0.002211935685
250	0.002200574177
251	0.002196156899
252	0.002192833459
253	0.002188759455
254	0.002180366323
255	0.002170827373
256	0.002160934964
257	0.002156272703
258	0.002151575118
259	0.00214378632
260	0.002137347014
261	0.002129008322
262	0.002124728842
263	0.002120433374
264	0.002109483966
265	0.002101870462
266	0.002094330584
267	0.002089473129
268	0.0020843208
269	0.002076327462
270	0.002071110078
271	0.002064888306
272	0.002061314538
273	0.002052872101
274	0.002047054032
275	0.002039890525
276	0.00203164386
277	0.002023179897
278	0.002014618374
279	0.002006441967
280	0.002002304065
281	0.001997911383
282	0.001994459981
283	0.001991503491
284	0.001987524827
285	0.001981544322
286	0.001977565341
287	0.00197315315
288	0.001966907628
289	0.001957307876
290	0.001950990854
291	0.001947291952
292	0.001940976382
293	0.00193458267
294	0.001927949676
295	0.001919805569
296	0.001916190978
297	0.001911867116
298	0.00190804826
299	0.001904663149
